━━━ Training ━━━
{'loss': 1.6184, 'grad_norm': 1.4657243490219116, 'learning_rate': 8.000000000000001e-07, 'epoch': 0.01}
{'loss': 1.6101, 'grad_norm': 2.3272554874420166, 'learning_rate': 1.6000000000000001e-06, 'epoch': 0.02}
{'loss': 1.6144, 'grad_norm': 2.414410352706909, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.03}
{'loss': 1.6082, 'grad_norm': 2.1104259490966797, 'learning_rate': 3.2000000000000003e-06, 'epoch': 0.04}
{'loss': 1.6016, 'grad_norm': 2.2262537479400635, 'learning_rate': 4e-06, 'epoch': 0.05}
{'loss': 1.6051, 'grad_norm': 1.3748358488082886, 'learning_rate': 4.800000000000001e-06, 'epoch': 0.06}
{'loss': 1.5961, 'grad_norm': 1.4569014310836792, 'learning_rate': 5.600000000000001e-06, 'epoch': 0.07}
{'loss': 1.6067, 'grad_norm': 1.6854740381240845, 'learning_rate': 6.4000000000000006e-06, 'epoch': 0.09}
{'loss': 1.5922, 'grad_norm': 2.153580665588379, 'learning_rate': 7.2e-06, 'epoch': 0.1}
{'loss': 1.5802, 'grad_norm': 2.124262571334839, 'learning_rate': 8e-06, 'epoch': 0.11}
{'loss': 1.5759, 'grad_norm': 2.737292528152466, 'learning_rate': 8.8e-06, 'epoch': 0.12}
{'loss': 1.5457, 'grad_norm': 3.133194923400879, 'learning_rate': 9.600000000000001e-06, 'epoch': 0.13}
{'loss': 1.4758, 'grad_norm': 3.041339635848999, 'learning_rate': 1.04e-05, 'epoch': 0.14}
{'loss': 1.3832, 'grad_norm': 5.0562520027160645, 'learning_rate': 1.1200000000000001e-05, 'epoch': 0.15}
{'loss': 1.3809, 'grad_norm': 11.724262237548828, 'learning_rate': 1.2e-05, 'epoch': 0.16}
{'loss': 1.2839, 'grad_norm': 4.637400150299072, 'learning_rate': 1.2800000000000001e-05, 'epoch': 0.17}
{'loss': 1.2997, 'grad_norm': 6.224616050720215, 'learning_rate': 1.36e-05, 'epoch': 0.18}                                                      
{'loss': 1.2172, 'grad_norm': 6.328336715698242, 'learning_rate': 1.44e-05, 'epoch': 0.19}                                                      
{'loss': 1.1821, 'grad_norm': 7.11806058883667, 'learning_rate': 1.5200000000000002e-05, 'epoch': 0.2}                                          
{'loss': 1.2051, 'grad_norm': 4.610604286193848, 'learning_rate': 1.6e-05, 'epoch': 0.21}                                                       
{'loss': 1.2252, 'grad_norm': 12.78235912322998, 'learning_rate': 1.6800000000000002e-05, 'epoch': 0.22}                                        
